Trip Leg Date Flight Dep Arr Carrier Dur.h Dur.min Reg Type
69 b 2019-01-06 TP1274 LIS VIE TAP 3 30 CS-TJH A321
70 a 2019-05-23 EW2759 VIE STR EWG 1 10 D-AKNN A319
70 a 2019-05-23 EW2064 STR BRE EWG 1 15 D-ABQP DH8D
70 b 2019-06-03 EW2065 BRE STR EWG 1 15 D-ABQQ DH8D
70 b 2019-06-03 EW2754 STR VIE EWG 1 15 D-AIZT A320
71 a 2019-08-02 OS187 VIE STR AUA 1 15 OE-LXC A320
71 b 2018-08-04 OS188 STR VIE AUA 1 15 OE-LBP A320
72 a 2019-09-19 OS163 VIE HAM AUA 1 35 OE-LBQ A320
72 b 2019-09-23 OS172 HAM VIE AUA 1 35 OE-LBD A321
73 a 2019-10-31 EW5884 VIE FCO EWG 1 50 OE-IEW A320
73 b 2019-11-03 W62816 FCO VIE WZZ 1 55 HA-LTF A321
74 a 2022-07-11 A30861 VIE ATH AEE 2 5 SX-NEA A20N
74 b 2022-07-17 A30862 ATH VIE AEE 2 20 SX-NEE A20N
75 a 2022-08-05 OS291 VIE HAJ AUA 1 25 OE-LWM E195
75 b 2022-08-16 OS292 HAJ VIE AUA 1 25 OE-LWD E195
76 a 2023-09-18 EW2755 VIE STR EWG 1 20 D-ABGN A319
76 a 2023-09-18 EW2824 STR OLB EWG 1 45 D-AGWJ A319
76 b 2023-09-27 EW845 OLB CGN EWG 2 5 D-ABMQ A319
76 b 2023-09-27 EW752 CGN VIE EWG 1 30 D-AEWL A319
77 a 2024-06-15 IB3121 VIE MAD IBE 3 10 EC-MXY A20N
77 a 2024-06-15 IB3902 MAD FUE IBS 2 45 EC-LYE A320
77 b 2024-06-22 IB3907 FUE MAD IBS 2 35 EC-ILR A320
77 b 2024-06-22 IB3124 MAD VIE IBE 3 0 EC-NTA A20N
78 a 2024-09-24 OS536 FLR VIE AUA 1 20 OE-LWL E195
79 a 2025-07-08 XC0232 VIE HER CXI 2 15 9H-TJF B738
79 b 2025-07-15 XC0231 HER VIE CXI 2 45 9H-TJD B738
80 a 2025-09-20 OS837 VIE LCA AUA 3 0 NA NA
80 b 2025-09-26 OS838 LCA VIE AUA 3 20 NA NA
81 a 2025-11-01 BA698 LHR VIE BAW 2 20 NA NA
